intron,SAMPLE,SGK1_status,scaledCPM
int_1,SRR8513147,Wild Type,1.5687081753665861
int_1,SRR8513148,Wild Type,2.533745349212617
int_1,SRR8513150,Wild Type,0.991438045505258
int_1,SRR8513152,Wild Type,-0.06587231504479572
int_1,SRR8513154,Wild Type,1.7449375525161894
int_1,SRR8513155,Wild Type,0.13355817762593097
int_1,SRR8513156,Wild Type,2.171378314481152
int_1,SRR8513157,Wild Type,-0.42231227187115516
int_1,SRR8513158,Wild Type,0.4291956674203574
int_1,SRR8513159,Wild Type,0.8383581513302271
int_1,SRR8513160,Wild Type,0.8880715314863751
int_1,SRR8513162,Wild Type,1.6286057204130302
int_1,SRR8513163,Wild Type,1.2254349719184627
int_1,SRR8513164,Wild Type,0.7332864591130974
int_1,SRR8513168,Wild Type,0.6532141040939531
int_1,SRR8513169,Wild Type,0.21642771379560904
int_1,SRR8513172,Wild Type,1.6821938838316837
int_1,SRR8513173,Wild Type,1.999684172755869
int_1,SRR8513174,Wild Type,2.1902965762290814
int_1,SRR8513175,Wild Type,1.229154332360033
int_1,SRR8513176,Wild Type,2.5149415868019194
int_1,SRR8513177,Wild Type,2.497187464443812
int_1,SRR8513178,Wild Type,0.8299453657812875
int_1,SRR8513179,Wild Type,1.3453685932441939
int_1,SRR8513180,Wild Type,1.030350111318953
int_1,SRR8513181,Wild Type,0.42644391005467636
int_1,SRR8513182,Wild Type,2.331272455672841
int_1,SRR8513183,Wild Type,2.0103000602077787
int_1,SRR8513184,Wild Type,2.277850915355182
int_1,SRR8513185,Wild Type,1.4036512888653627
int_1,SRR8513186,Wild Type,1.8254335913951452
int_1,SRR8513187,Wild Type,0.31839181240876924
int_1,SRR8513188,Wild Type,1.7566098270772355
int_1,SRR8513189,Wild Type,-1.076737178276614
int_1,SRR8513190,Wild Type,2.2784044031313795
int_1,SRR8513191,Wild Type,1.6970027888236614
int_1,SRR8513192,Wild Type,2.664291792657364
int_1,SRR8513194,Wild Type,1.7604496937168068
int_1,SRR8513195,Wild Type,0.10685924439882774
int_1,SRR8513196,Wild Type,0.7350663319270252
int_1,SRR8513200,Wild Type,1.2175868622470276
int_1,SRR8513201,Wild Type,-0.7140940726258718
int_1,SRR8513202,Wild Type,1.8493164888672173
int_1,SRR8513204,Wild Type,1.0396498134275929
int_1,SRR8513205,Wild Type,2.297770238250211
int_1,SRR8513207,Wild Type,2.145500404357168
int_1,SRR8513208,Wild Type,1.4715731423743765
int_1,SRR8513209,Wild Type,1.368421332301052
int_1,SRR8513211,Wild Type,0.09437242001291192
int_1,SRR8513213,Wild Type,2.4261587150992963
int_1,SRR8513214,Wild Type,1.191938388731619
int_1,SRR8513215,Wild Type,1.4798703156265636
int_1,SRR8513216,Wild Type,2.0517143179532873
int_1,SRR8513217,Wild Type,2.135073943422291
int_1,SRR8513218,Wild Type,0.8933874519766304
int_1,SRR8513219,Wild Type,2.6783705199644015
int_1,SRR8513220,Wild Type,0.26914623616912653
int_1,SRR8513222,Wild Type,0.8787507489330503
int_1,SRR8513223,Wild Type,2.0666138322301353
int_1,SRR8513225,Wild Type,2.07950374440863
int_1,SRR8513226,Wild Type,-0.8542554433740366
int_1,SRR8513227,Wild Type,1.9999521983637463
int_1,SRR8513228,Wild Type,2.476623611827312
int_1,SRR8513229,Wild Type,2.4986156397526704
int_1,SRR8513230,Wild Type,2.4621534736039243
int_1,SRR8513231,Wild Type,2.4604571091158585
int_1,SRR8513232,Wild Type,0.01161236587302927
int_1,SRR8513233,Wild Type,2.3791939244429257
int_1,SRR8513234,Wild Type,2.649185106945417
int_1,SRR8513235,Wild Type,1.05684985188652
int_1,SRR8513237,Wild Type,2.2518041502062
int_1,SRR8513238,Wild Type,1.9562865909023612
int_1,SRR8513239,Wild Type,2.010336089454841
int_1,SRR8513242,Wild Type,2.206903017355086
int_1,SRR8513243,Wild Type,1.101531800232725
int_1,SRR8513245,Wild Type,1.3780515834001175
int_1,SRR8513247,Wild Type,1.1672018085826499
int_1,SRR8513248,Exon Mutant,2.5484295853389387
int_1,SRR8513250,Wild Type,1.0642507832249095
int_1,SRR8513251,Wild Type,0.9388175616971282
int_1,SRR8513253,Wild Type,2.34890658730105
int_1,SRR8513254,Wild Type,0.36591898779911763
int_1,SRR8513255,Wild Type,1.9221137063977005
int_1,SRR8513257,Wild Type,1.8816552532814161
int_1,SRR8513259,Wild Type,-0.13038076499855772
int_1,SRR8513260,Wild Type,0.04316382282898451
int_1,SRR8513261,Wild Type,0.5883173858705375
int_1,SRR8513262,Wild Type,0.28566072541889725
int_1,SRR8513263,Wild Type,1.8847090722418829
int_1,SRR8513264,Wild Type,1.505548380856989
int_1,SRR8513265,Wild Type,0.14998627577662585
int_1,SRR8513266,Wild Type,-0.009155283211185004
int_1,SRR8513267,Wild Type,2.5098171509225287
int_1,SRR8513268,Wild Type,2.448464218115871
int_1,SRR8513269,Wild Type,1.3009131667141414
int_1,SRR8513270,Wild Type,0.5322141756174564
int_1,SRR8513273,Wild Type,1.9549692595155297
int_1,SRR8513274,Wild Type,1.8259246532441784
int_1,SRR8513275,Wild Type,1.7778657864178045
int_1,SRR8513276,Wild Type,2.266347628321965
int_1,SRR8513277,Wild Type,2.406935141264744
int_1,SRR8513278,Wild Type,1.8791172029296392
int_1,SRR8513279,Wild Type,2.554772525127716
int_1,SRR8513281,Wild Type,0.7780829695246555
int_1,SRR8513282,Wild Type,2.042735430556856
int_1,SRR8513283,Wild Type,0.5687658306395438
int_1,SRR8513287,Wild Type,-0.5744762500272599
int_1,SRR8513288,Wild Type,0.10357128355494873
int_1,SRR8513289,Wild Type,2.183339268642946
int_1,SRR8513291,Wild Type,2.4176115716452324
int_1,SRR8513292,Wild Type,0.5500827469970498
int_1,SRR8513293,Wild Type,2.6427873409379012
int_1,SRR8513294,Wild Type,0.3952841054086394
int_1,SRR8513296,Wild Type,1.1190692755225655
int_1,SRR8513297,Wild Type,2.337190083497081
int_1,SRR8513298,Wild Type,2.362279669231411
int_1,SRR8513299,Wild Type,2.614301636498948
int_1,SRR8513300,Exon Mutant,2.1732300256687824
int_1,SRR8513301,Wild Type,0.3912222187850979
int_1,SRR8513302,Wild Type,-0.07619268334872505
int_1,SRR8513303,Intron Mutant,2.590274899107003
int_1,SRR8513304,Wild Type,1.6250985354115945
int_1,SRR8513306,Wild Type,1.584937882768402
int_1,SRR8513307,Wild Type,1.663734076441895
int_1,SRR8513308,Wild Type,1.2091098713709951
int_1,SRR8513309,Wild Type,1.745599221807575
int_1,SRR8513310,Wild Type,-0.9824153517994709
int_1,SRR8513311,Intron Mutant,2.862746991396642
int_1,SRR8513313,Wild Type,1.0871399989154327
int_1,SRR8513314,Wild Type,1.968135353168057
int_1,SRR8513315,Wild Type,-0.057370532407995674
int_1,SRR8513316,Wild Type,-0.14417673510571039
int_1,SRR8513319,Wild Type,1.0134462250313825
int_1,SRR8513322,Wild Type,0.8144134030166471
int_1,SRR8513323,Wild Type,3.0151134457776365
int_1,SRR8513324,Wild Type,1.5597964590449085
int_1,SRR8513325,Wild Type,1.4049225773036393
int_1,SRR8513326,Wild Type,2.3210798984732683
int_1,SRR8513327,Wild Type,0.9873288778206545
int_1,SRR8513328,Wild Type,1.9118368461143478
int_1,SRR8513330,Wild Type,-0.026041166683151897
int_1,SRR8513331,Wild Type,0.5186451714118347
int_1,SRR8513332,Wild Type,0.3456820938219801
int_1,SRR8513333,Wild Type,0.34250542799667116
int_1,SRR8513334,Wild Type,1.9504355677715064
int_1,SRR8513335,Wild Type,1.318324455670379
int_1,SRR8513336,Wild Type,1.6129908423663872
int_1,SRR8513337,Wild Type,1.0741313640960937
int_1,SRR8513338,Wild Type,0.9553846717562469
int_1,SRR8513339,Wild Type,1.8830045080365498
int_1,SRR8513340,Wild Type,1.6394853804515608
int_1,SRR8513341,Wild Type,2.5749373155019506
int_1,SRR8513343,Wild Type,1.5860140439989237
int_1,SRR8513345,Wild Type,2.271468092470456
int_1,SRR8513346,Exon Mutant,2.5850394957815173
int_1,SRR8513347,Wild Type,2.102530746439092
int_1,SRR8513348,Wild Type,2.1338620820254186
int_1,SRR8513349,Wild Type,0.5390573108234673
int_1,SRR8513350,Wild Type,2.456248449047675
int_1,SRR8513351,Wild Type,0.06853372490847168
int_1,SRR8513352,Wild Type,0.760620037769715
int_1,SRR8513353,Wild Type,2.5545032708540556
int_1,SRR8513354,Wild Type,-0.3094117406903472
int_1,SRR8513355,Wild Type,-0.1494915090580241
int_1,SRR8513356,Wild Type,1.3255196947650507
int_1,SRR8513357,Wild Type,0.38568965935762684
int_1,SRR8513360,Wild Type,1.50940492049071
int_1,SRR8513361,Wild Type,0.8267798956941574
int_1,SRR8513362,Wild Type,0.6642289774638472
int_1,SRR8513363,Wild Type,1.5081881772986039
